0.6666666666666666,0.3333333333333333
0.5,0.5
0.25,0.75
0.25,0.75
0.7857142857142857,0.21428571428571427
0.625,0.375
0.6842105263157895,0.3157894736842105
0.7777777777777778,0.2222222222222222
0.6,0.4
0.75,0.25
0.8571428571428571,0.14285714285714285
0.25,0.75
0.8571428571428571,0.14285714285714285
0.5,0.5
0.2,0.8
0.5714285714285714,0.42857142857142855
0.3333333333333333,0.6666666666666666
0.7142857142857143,0.2857142857142857
0.2727272727272727,0.7272727272727273
0.6363636363636364,0.36363636363636365
0.3333333333333333,0.6666666666666666
0.08333333333333333,0.9166666666666666
0.8571428571428571,0.14285714285714285
0.5,0.5
0.4,0.6
0.5714285714285714,0.42857142857142855
0.6666666666666666,0.3333333333333333
0.7142857142857143,0.2857142857142857
0.2727272727272727,0.7272727272727273
0.6363636363636364,0.36363636363636365
0.5,0.5
0.8333333333333334,0.16666666666666666
0.5,0.5
0.3333333333333333,0.6666666666666666
0.75,0.25
0.4,0.6
0.7,0.3
0.9166666666666666,0.08333333333333333
0.6666666666666666,0.3333333333333333
0.375,0.625
0.8333333333333334,0.16666666666666666
0.5,0.5
0.3333333333333333,0.6666666666666666
0.75,0.25
0.6,0.4
0.7,0.3
0.9166666666666666,0.08333333333333333
0.6666666666666666,0.3333333333333333
0.5,0.5
0.5,0.5
0.8333333333333334,0.16666666666666666
0.7777777777777778,0.2222222222222222
0.5,0.5
0.5882352941176471,0.4117647058823529
0.8,0.2
0.8333333333333334,0.16666666666666666
0.6666666666666666,0.3333333333333333
0.7777777777777778,0.2222222222222222
0.5,0.5
0.8888888888888888,0.1111111111111111
0.5,0.5
0.8333333333333334,0.16666666666666666
0.5882352941176471,0.4117647058823529
0.8,0.2
0.8333333333333334,0.16666666666666666
0.4444444444444444,0.5555555555555556
0.6666666666666666,0.3333333333333333
0.5,0.5
0.8888888888888888,0.1111111111111111
0.8,0.2
0.6666666666666666,0.3333333333333333
0.5,0.5
0.75,0.25
0.6666666666666666,0.3333333333333333
0.125,0.875
0.3,0.7
0.4166666666666667,0.5833333333333334
0.9,0.1
0.3,0.7
0.8333333333333334,0.16666666666666666
0.92,0.08
0.75,0.25
0.6,0.4
0.9,0.1
0.8571428571428571,0.14285714285714285
0.8,0.2
0.6666666666666666,0.3333333333333333
0.8,0.2
0.4,0.6
0.5454545454545454,0.45454545454545453
0.7,0.3
0.7,0.3
0.8333333333333334,0.16666666666666666
0.7777777777777778,0.2222222222222222
0.8,0.2
0.6666666666666666,0.3333333333333333
0.8,0.2
0.4,0.6
0.7272727272727273,0.2727272727272727
0.5,0.5
0.6,0.4
0.8333333333333334,0.16666666666666666
0.7777777777777778,0.2222222222222222
0.25,0.75
0.5,0.5
0.16666666666666666,0.8333333333333334
0.3333333333333333,0.6666666666666666
0.8333333333333334,0.16666666666666666
0.5,0.5
0.2222222222222222,0.7777777777777778
0.8,0.2
0.8888888888888888,0.1111111111111111
0.75,0.25
0.7142857142857143,0.2857142857142857
0.8571428571428571,0.14285714285714285
0.5,0.5
0.7692307692307693,0.23076923076923078
0.5,0.5
0.8,0.2
0.5384615384615384,0.46153846153846156
0.4,0.6
0.6666666666666666,0.3333333333333333
0.8,0.2
0.75,0.25
0.7142857142857143,0.2857142857142857
0.7777777777777778,0.2222222222222222
0.5,0.5
0.8,0.2
0.2,0.8
0.6,0.4
0.8571428571428571,0.14285714285714285
0.6,0.4
0.8461538461538461,0.15384615384615385
0.7777777777777778,0.2222222222222222
0.6521739130434783,0.34782608695652173
0.8,0.2
0.75,0.25
0.5,0.5
0.6,0.4
0.6,0.4
0.6666666666666666,0.3333333333333333
0.875,0.125
0.42857142857142855,0.5714285714285714
0.9166666666666666,0.08333333333333333
0.7142857142857143,0.2857142857142857
0.625,0.375
0.5,0.5
0.6,0.4
0.5,0.5
0.6666666666666666,0.3333333333333333
0.875,0.125
0.42857142857142855,0.5714285714285714
0.9166666666666666,0.08333333333333333
0.7142857142857143,0.2857142857142857
0.5,0.5
0.5,0.5
0.6,0.4
0.7,0.3
0.6666666666666666,0.3333333333333333
0.5,0.5
0.42857142857142855,0.5714285714285714
0.9166666666666666,0.08333333333333333
0.7142857142857143,0.2857142857142857
0.5,0.5
0.5714285714285714,0.42857142857142855
0.75,0.25
0.8333333333333334,0.16666666666666666
0.75,0.25
0.5,0.5
0.8333333333333334,0.16666666666666666
0.8,0.2
0.5714285714285714,0.42857142857142855
0.75,0.25
0.8333333333333334,0.16666666666666666
0.75,0.25
0.5,0.5
0.8333333333333334,0.16666666666666666
0.4,0.6
0.5714285714285714,0.42857142857142855
0.75,0.25
0.8333333333333334,0.16666666666666666
0.75,0.25
0.5,0.5
0.8333333333333334,0.16666666666666666
0.4,0.6
0.5714285714285714,0.42857142857142855
0.75,0.25
0.8333333333333334,0.16666666666666666
0.75,0.25
0.5,0.5
0.8333333333333334,0.16666666666666666
0.4,0.6
0.5714285714285714,0.42857142857142855
0.75,0.25
0.8333333333333334,0.16666666666666666
0.75,0.25
0.5,0.5
0.8333333333333334,0.16666666666666666
0.4,0.6
0.5714285714285714,0.42857142857142855
0.75,0.25
0.8333333333333334,0.16666666666666666
0.75,0.25
0.6666666666666666,0.3333333333333333
0.8333333333333334,0.16666666666666666
0.4,0.6
0.5714285714285714,0.42857142857142855
0.75,0.25
0.8333333333333334,0.16666666666666666
0.75,0.25
0.5,0.5
0.8333333333333334,0.16666666666666666
0.4,0.6
0.5714285714285714,0.42857142857142855
0.75,0.25
0.8333333333333334,0.16666666666666666
0.75,0.25
0.5,0.5
0.8333333333333334,0.16666666666666666
0.4,0.6
0.5454545454545454,0.45454545454545453
0.375,0.625
0.6666666666666666,0.3333333333333333
0.5,0.5
0.8,0.2
0.6666666666666666,0.3333333333333333
0.8,0.2
0.36363636363636365,0.6363636363636364
0.5454545454545454,0.45454545454545453
0.8,0.2
0.5454545454545454,0.45454545454545453
0.375,0.625
0.6666666666666666,0.3333333333333333
0.5,0.5
0.8,0.2
0.5,0.5
0.4,0.6
0.45454545454545453,0.5454545454545454
0.45454545454545453,0.5454545454545454
0.6,0.4
0.5454545454545454,0.45454545454545453
0.375,0.625
0.6666666666666666,0.3333333333333333
0.5,0.5
0.8,0.2
0.3333333333333333,0.6666666666666666
0.6,0.4
0.45454545454545453,0.5454545454545454
0.45454545454545453,0.5454545454545454
0.8,0.2
0.45454545454545453,0.5454545454545454
0.375,0.625
0.6666666666666666,0.3333333333333333
0.5,0.5
0.8,0.2
0.5,0.5
0.6,0.4
0.45454545454545453,0.5454545454545454
0.45454545454545453,0.5454545454545454
0.6,0.4
0.6944444444444444,0.3055555555555556
0.8571428571428571,0.14285714285714285
0.8571428571428571,0.14285714285714285
0.75,0.25
0.7142857142857143,0.2857142857142857
0.8333333333333334,0.16666666666666666
0.8461538461538461,0.15384615384615385
0.8,0.2
0.8888888888888888,0.1111111111111111
0.875,0.125
0.7333333333333333,0.26666666666666666
0.8333333333333334,0.16666666666666666
0.375,0.625
0.6666666666666666,0.3333333333333333
0.5555555555555556,0.4444444444444444
0.8333333333333334,0.16666666666666666
0.7142857142857143,0.2857142857142857
0.6923076923076923,0.3076923076923077
0.6428571428571429,0.35714285714285715
0.75,0.25
0.5333333333333333,0.4666666666666667
0.75,0.25
0.375,0.625
0.6666666666666666,0.3333333333333333
0.5555555555555556,0.4444444444444444
0.8333333333333334,0.16666666666666666
0.7142857142857143,0.2857142857142857
0.7692307692307693,0.23076923076923078
0.7142857142857143,0.2857142857142857
0.42857142857142855,0.5714285714285714
0.7777777777777778,0.2222222222222222
0.5,0.5
0.4,0.6
0.8571428571428571,0.14285714285714285
0.5714285714285714,0.42857142857142855
0.625,0.375
0.3,0.7
0.5555555555555556,0.4444444444444444
0.5,0.5
0.3333333333333333,0.6666666666666666
0.8,0.2
0.2,0.8
0.5454545454545454,0.45454545454545453
0.75,0.25
0.4666666666666667,0.5333333333333333
0.6,0.4
0.5555555555555556,0.4444444444444444
0.5,0.5
0.3333333333333333,0.6666666666666666
0.8,0.2
0.2,0.8
0.7272727272727273,0.2727272727272727
0.75,0.25
0.6,0.4
0.6,0.4
0.5555555555555556,0.4444444444444444
0.5,0.5
0.3333333333333333,0.6666666666666666
0.8,0.2
0.2,0.8
0.7272727272727273,0.2727272727272727
0.75,0.25
0.4,0.6
0.6,0.4
0.1111111111111111,0.8888888888888888
0.5,0.5
0.3333333333333333,0.6666666666666666
0.8,0.2
0.2,0.8
0.7272727272727273,0.2727272727272727
0.75,0.25
0.4666666666666667,0.5333333333333333
0.6,0.4
